name,ra,dec,l,b,alphaKW,alphaKW0,AKHerschel,J_flux,J_flux_err,Jmag,H_flux,H_flux_err,Hmag,Ks_flux,Ks_flux_err,Ksmag,W1_flux,W1_flux_err,W1mag,W2_flux,W2_flux_err,W2mag,W3_flux,W3_flux_err,W3mag,W4_flux,W4_flux_err,W4mag,J_flag,H_flag,Ks_flag,W1_flag,W2_flag,W3_flag,W4_flag
star_37,83.18530833333332,-5.559366666666667,208.86866124870403,-20.0230401931403,-0.86,-1.06,1.029,0.8719434448529899,0.087194344485299,15.655,3.0331923825180276,0.3033192382518028,13.821,6.2853643093522695,0.628536430935227,12.564,4.780978363202362,0.47809783632023617,12.028,5.1262275423565145,0.5126227542356515,11.313,6.5509292998582715,0.6550929299858272,9.211,7.578130796066192,0.7578130796066193,7.607,1,1,1,1,1,1,1
star_38,83.18560416666665,-5.404206111111112,208.72157047488793,-19.952562331395196,0.0,0.0,0.202,2.858171715066221,0.2858171715066221,14.366,3.2411561648396887,0.3241156164839689,13.749,2.7588650351331054,0.27588650351331057,13.458,2.030096947819744,0.2030096947819744,12.958,1.7905971119547561,0.17905971119547562,12.455,0.45404919745462563,0.04540491974546257,12.109,3.752857696010785,0.3752857696010785,8.37,1,1,1,1,1,1,1
star_39,83.19162499999999,-5.586202777777777,208.89716407770246,-20.029564265811516,0.0,0.0,4.912,1594000.0,159400.0,0.0,0.061418606208564104,0.00614186062085641,18.055,0.5271454412874831,0.05271454412874831,15.255,2.363288699183755,0.23632886991837554,12.793,6.312448961175767,0.6312448961175767,11.087,1.0881854441780618,0.1088185444178062,11.16,18.061844408605403,1.8061844408605403,6.664,1,1,1,1,1,1,1
star_40,83.19474999999998,-5.967229722222222,209.26081598677905,-20.19864352934864,-1.42,-1.43,0.103,20.55361972216031,2.0553619722160312,12.224,28.177337679961987,2.8177337679961987,11.401,25.277286746701005,2.527728674670101,11.053,17.96043199047893,1.7960431990478931,10.591,14.527734009506812,1.4527734009506812,10.182,8.731782561432873,0.8731782561432873,8.899,10.12889564582459,1.0128895645824592,7.292,1,1,1,1,1,1,1
star_41,83.19714166666665,-5.661846944444445,208.97163905201057,-20.05884280058687,-1.39,-1.44,0.249,18.100406027800446,1.8100406027800446,12.362,22.819175928527905,2.2819175928527904,11.63,17.82914245981231,1.782914245981231,11.432,11.542949037988476,1.1542949037988477,11.071,10.370456632456031,1.037045663245603,10.548,6.068801216093627,0.6068801216093628,9.294,7.426122291231385,0.7426122291231385,7.629,1,1,1,1,1,1,1
star_42,83.19964999999998,-6.492154444444444,209.76337546636853,-20.4298253811988,-1.06,-1.06,0.051,5.327068938016262,0.5327068938016262,13.69,5.758375169949175,0.5758375169949175,13.125,4.81648769525318,0.481648769525318,12.853,2.8100676691135518,0.2810067669113552,12.605,2.1927942296570064,0.21927942296570066,12.235,1.9120661469026858,0.1912066146902686,10.548,4.199156847645223,0.4199156847645223,8.248,1,1,1,1,1,1,1
star_43,83.20052499999998,-5.577901944444444,208.8935447192212,-20.01791091910735,2.84,1.91,4.941,1594000.0,159400.0,0.0,1024000.0,102400.0,0.0,0.09068395549478747,0.009068395549478747,17.166,1.3813914964574745,0.13813914964574744,13.376,11.486768794583236,1.1486768794583238,10.437,62.15884161187744,6.215884161187745,6.768,1615.7051035212535,161.57051035212535,1.785,1,1,1,1,1,1,1
star_44,83.20254583333332,-5.581052222222222,208.89750305805396,-20.017540859072707,0.85,0.61,5.533,1.4564256436482348,0.14564256436482348,15.098,4.641944638939254,0.46419446389392544,13.359,6.797206360409871,0.6797206360409871,12.479,5.898163106383427,0.5898163106383427,11.8,7.181214178601325,0.7181214178601325,10.947,15.441977395534664,1.5441977395534665,8.28,729.0580284031266,72.90580284031266,2.649,1,1,1,1,1,1,1
star_45,83.20340416666666,-5.5150958333333335,208.83530952260867,-19.986954731927387,-0.63,-0.71,0.435,5.900493238869757,0.5900493238869757,13.579,12.667763788690115,1.2667763788690116,12.269,16.230446039675876,1.6230446039675877,11.534,15.845895161703053,1.5845895161703054,10.727,17.61156214919824,1.7611562149198239,9.973,19.783490209338982,1.9783490209338983,8.011,41.22513597593979,4.122513597593979,5.768,1,1,1,1,1,1,1
star_46,83.20802916666666,-6.179338055555556,209.46908391852207,-20.282191954871994,-0.81,-0.82,0.057,3.816702567544228,0.3816702567544228,14.052,4.996891927413611,0.49968919274136114,13.279,4.646548291507584,0.46465482915075845,12.892,4.79420696218169,0.479420696218169,12.025,4.335087619044381,0.4335087619044381,11.495,3.670311397885747,0.3670311397885747,9.84,8.724932922649689,0.872493292264969,7.454,1,1,1,1,1,1,1
star_47,83.21066666666665,-5.578444999999999,208.89891607033428,-20.00915281217909,2.03,1.34,4.896,0.02559106247560747,0.0025591062475607473,19.486,0.42374048237232637,0.04237404823723264,15.958,0.2497643531559847,0.02497643531559847,16.066,18.98089900057922,1.898089900057922,10.531,66.34342367644199,6.634342367644199,8.533,196.38255786947133,19.638255786947134,5.519,1095.3731640548574,109.53731640548574,2.207,1,1,1,1,1,1,1
star_48,83.21359999999999,-3.6767769444444443,207.1048121865518,-19.137997867273736,-1.24,-1.24,0.151,6.392758775420007,0.6392758775420008,13.492,6.923089668013881,0.6923089668013881,12.925,5.892918776136619,0.5892918776136619,12.634,4.16405807871707,0.416405807871707,12.178,3.4721452099618735,0.3472145209961874,11.736,2.427185183720414,0.24271851837204142,10.289,3.574062121408828,0.3574062121408828,8.423,1,1,1,1,1,1,1
star_49,83.21624166666666,-5.590470833333333,208.9130015247623,-20.009638867844068,0.0,0.0,2.269,1.4944738390398515,0.14944738390398515,15.07,3.550585348633917,0.35505853486339173,13.65,4.772329870639797,0.4772329870639797,12.863,4.672150009105729,0.4672150009105729,12.053,4.645130073702577,0.46451300737025775,11.42,0.5560360024662292,0.05560360024662292,11.889,3.4384451175971185,0.34384451175971187,8.465,1,1,1,1,1,1,1
star_50,83.2262375,-5.6208422222222225,208.94662045873696,-20.014488298396834,0.0,0.0,0.382,0.01902340776462006,0.0019023407764620062,19.808,0.06085551704223452,0.006085551704223452,18.065,0.1547142994348003,0.015471429943480032,16.586,309540.0,30954.0,0.0,171790.0,17179.0,0.0,31674.0,3167.4,0.0,8363.0,836.3000000000001,0.0,1,1,1,1,1,1,1
star_51,83.23208749999998,-5.174633055555556,208.5263123867829,-19.807203999804848,-0.25,-0.28,0.164,0.3411051819134774,0.03411051819134774,16.674,1.0071634495764024,0.10071634495764024,15.018,4.82536817017588,0.482536817017588,12.851,7.06507502850187,0.706507502850187,11.604,9.840063016305558,0.9840063016305559,10.605,14.070285584110193,1.4070285584110194,8.381,32.23755505158849,3.2237555051588487,6.035,1,1,1,1,1,1,1
